t,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,qw,qx,qy,qz,wx,wy,wz,f1,f2,f3,f4
0,1.5,-2,1.25,0,0,0,0,0,0,0,0,0,74.82970338,305.6067941,3.229346441,1,-0,0,0,0,0,0,0.08124599661,0.08321638021,0.07516927339,0.07319888979
0.0009999526607,1.5,-2,1.25,1.242498051e-08,5.077949368e-08,5.361883856e-10,3.723189195e-05,0.0001521981063,1.606684013e-06,0.07428815073,0.3038205664,0.003205695365,73.75470174,302.0662853,3.182395484,1,-7.759982121e-06,1.898307561e-06,0,-0.03098122355,0.007575319312,-2.754847737e-11,0.08121354624,0.08315562123,0.07520174963,0.0732596742
0.001999905321,1.5,-2,1.25,9.904177493e-08,4.050565831e-07,4.273868517e-09,0.000148212037,0.0006064354873,6.395486016e-06,0.1475045574,0.6041103235,0.006364584881,72.68611122,298.5448335,3.135730194,0.9999999995,-3.091974236e-05,7.556744445e-06,0,-0.06160234265,0.01504133588,-4.389304407e-10,0.08118128274,0.08309521285,0.07523409136,0.0733201577
0.002999857982,1.5,-1.999999999,1.25,3.330603916e-07,1.363094181e-06,1.437165461e-08,0.0003318719446,0.001359191021,1.431974508e-05,0.219655623,0.9008883046,0.009476953846,71.62391595,295.0423937,3.089349856,0.9999999975,-6.929970763e-05,1.692082156e-05,0,-0.09186523946,0.02239868834,-2.212771273e-09,0.08114920648,0.08303515382,0.07526629948,0.07338034021
0.003999810643,1.500000001,-1.999999997,1.25,7.866255974e-07,3.221643753e-06,3.394164468e-08,0.0005871495185,0.002406962595,2.533308519e-05,0.2907477344,1.194173499,0.01254308684,70.56810008,291.5589212,3.043253752,0.999999992,-0.0001227212449,2.993636876e-05,0,-0.1217717924,0.02964801397,-6.96409877e-09,0.08111731793,0.08297544298,0.07529837519,0.07344022202
0.004999763304,1.500000002,-1.999999992,1.25,1.530823304e-06,6.273964304e-06,6.604970508e-08,0.0009129890417,0.003746267063,3.938941456e-05,0.3607872629,1.48398485,0.01556326772,69.51864776,288.0943714,2.997441168,0.9999999807,-0.0001910066587,4.654953407e-05,0,-0.1513238752,0.03678994851,-1.693074548e-08,0.08108561771,0.08291607927,0.07533031995,0.07349980377
0.005999715964,1.500000004,-1.999999984,1.25,2.635686938e-06,1.080984132e-05,1.137157543e-07,0.00130834116,0.0053736402,5.644292487e-05,0.4297805638,1.770341258,0.01853777964,68.47554314,284.6486995,2.951911386,0.9999999602,-0.0002739791891,6.670678285e-05,0,-0.1805233564,0.04382512595,-3.495987085e-08,0.08105410657,0.08285706173,0.07536213551,0.07355908646
0.006999668625,1.500000007,-1.99999997,1.25,4.170203796e-06,1.711560568e-05,1.799140463e-07,0.001772162865,0.007285636657,7.644809059e-05,0.4977339766,2.053261576,0.02146690503,67.43877034,281.2218608,2.906663691,0.9999999269,-0.0003714630078,9.035489681e-05,0,-0.2093720986,0.05075417839,-6.449460229e-08,0.08102278536,0.08279838952,0.07539382386,0.07361807139
0.007999621286,1.500000012,-1.999999949,1.250000001,6.202321386e-06,2.547415246e-05,2.675734525e-07,0.002303417483,0.009478829914,9.935966826e-05,0.5646538247,2.332764616,0.02435092561,66.40831353,277.8138105,2.861697366,0.9999998763,-0.0004832832154,0.0001174409729,0,-0.2378719573,0.05757773586,-1.095607943e-07,0.08099165506,0.08274006189,0.07542538721,0.07367676017
0.008999573946,1.50000002,-1.999999918,1.250000001,8.798953744e-06,3.616495983e-05,3.795777439e-07,0.002901074652,0.01194981224,0.0001251326957,0.6305464161,2.608869142,0.02719012237,65.38415685,274.424504,2.817011696,0.9999998035,-0.0006092658372,0.0001479124224,0,-0.2660247813,0.06429642624,-1.747539044e-07,0.08096071676,0.08268207822,0.07545682802,0.07373515467
0.009999526607,1.50000003,-1.999999876,1.250000001,1.202598775e-05,4.946410771e-05,5.187658718e-07,0.003564110311,0.01469519465,0.0001537224915,0.6954180426,2.881593874,0.0299847756,64.36628443,271.0538963,2.772605965,0.9999997028,-0.0007492378194,0.0001817169694,0,-0.2938324113,0.07091087505,-2.652259849e-07,0.08092997166,0.08262443799,0.07548814893,0.07379325705
0.01099947927,1.500000044,-1.999999818,1.250000002,1.594828941e-05,6.564429659e-05,6.879322482e-07,0.004291506682,0.01771160685,0.0001850846541,0.7592749803,3.150957489,0.03273516486,63.35468043,267.701943,2.728479455,0.9999995683,-0.0009030270245,0.0002188026498,0,-0.3212966799,0.07742170546,-3.866727891e-07,0.08089942107,0.08256714078,0.0755193528,0.07385106971
0.01199943193,1.500000062,-1.999999743,1.250000003,2.062971013e-05,8.497486611e-05,8.898270251e-07,0.005082252257,0.02099569719,0.000219175061,0.8221234892,3.416978618,0.03544156901,62.34932898,264.3685991,2.684631452,0.9999993935,-0.001070462227,0.0002591178097,0,-0.3484194113,0.0838295381,-5.453209902e-07,0.08086906643,0.0825101863,0.07555044266,0.07390859526
0.01299938459,1.500000086,-1.999999647,1.250000004,2.6133093e-05,0.0001077218138,1.127156374e-06,0.005935341778,0.02454413265,0.0002559498683,0.8839698139,3.679675846,0.03810426618,61.35021424,261.0538201,2.641061239,0.9999991712,-0.001251373109,0.0003026111045,0,-0.3752024204,0.09013499106,-7.479155125e-07,0.08083890925,0.08245357435,0.07558142171,0.07396583655
0.01399933725,1.500000115,-1.999999527,1.250000005,3.252027901e-05,0.0001341478135,1.402582762e-06,0.006849776223,0.02835359876,0.0002953655098,0.9448201827,3.939067715,0.04072353379,60.35732035,257.757561,2.5977681,0.9999988942,-0.001445590253,0.000349231497,0,-0.4016475131,0.09633867975,-1.001706972e-06,0.08080895117,0.08239730488,0.07561229332,0.07402279662
0.01499928991,1.500000151,-1.999999378,1.250000007,3.985211327e-05,0.0001645122341,1.718725233e-06,0.00782456279,0.03242079957,0.0003373786966,1.004680808,4.195172722,0.04329964855,59.37063145,254.4797773,2.554751319,0.9999985543,-0.00165294514,0.0003989282562,0,-0.4277564858,0.1024412169,-1.314439227e-06,0.08077919391,0.08234137791,0.07564306098,0.07407947868
0.01599924257,1.500000195,-1.999999196,1.250000008,4.818845127e-05,0.0001990711579,2.07815968e-06,0.008858714884,0.0367424576,0.0003819464158,1.063557887,4.448009319,0.04583288643,58.39013168,251.2204242,2.512010179,0.9999981434,-0.001873270143,0.000451650956,0,-0.4535311252,0.1084432126,-1.694337033e-06,0.08074963929,0.0822857936,0.07567372834,0.07413588613
0.01699919523,1.500000248,-1.999998978,1.250000011,5.758816503e-05,0.0002380773991,2.483419125e-06,0.009951252096,0.04131531379,0.0004290259302,1.121457601,4.697595913,0.04832352271,57.4158052,247.9794569,2.469543965,0.9999976528,-0.002106398521,0.0005073494734,0,-0.4789732079,0.114345274,-2.150093807e-06,0.08072028924,0.08223055221,0.07570429917,0.07419202252
0.01799914789,1.500000311,-1.999998719,1.250000013,6.810914928e-05,0.0002817805222,2.93699399e-06,0.01110120019,0.0461361275,0.0004785747777,1.178386114,4.943950868,0.05077183194,56.44763614,244.7568308,2.427351961,0.9999970735,-0.002352164413,0.0005659739872,0,-0.5040845007,0.1201480056,-2.690859493e-06,0.08069114576,0.0821756541,0.07573477735,0.07424789154
0.01899910055,1.500000384,-1.999998413,1.250000017,7.980832767e-05,0.0003304268604,3.441332376e-06,0.01230759109,0.05120167639,0.00053055077,1.234349576,5.1870925,0.05317808797,55.48560865,241.552501,2.38543345,0.999996396,-0.002610402836,0.0006274749763,0,-0.5288667603,0.1258520091,-3.326228532e-06,0.08066221095,0.08212109977,0.07576516687,0.07430349701
0.01999905321,1.500000471,-1.999998056,1.25000002,9.274165887e-05,0.0003842595337,3.998840334e-06,0.01356946285,0.05650875643,0.0005849119927,1.28935412,5.427039083,0.05554256392,54.52970687,238.3664229,2.343787717,0.9999956108,-0.002880949673,0.0006918032185,0,-0.5533217331,0.1314578832,-4.066227929e-06,0.08063348699,0.08206688979,0.07579547181,0.07435884287
